"Date","Price","Open","High","Low","Change %"
"Feb 05, 2019","651.48","652.51","654.13","648.62","-0.17%"
"Feb 04, 2019","652.58","653.87","656.17","650.53","-0.22%"
"Feb 01, 2019","654.00","655.93","659.00","651.40","-0.27%"
"Jan 31, 2019","655.80","663.92","664.19","652.29","-1.21%"
"Jan 30, 2019","663.86","667.45","669.25","663.62","-0.54%"
"Jan 29, 2019","667.45","670.85","671.34","666.77","-0.51%"
"Jan 28, 2019","670.85","669.54","673.27","667.52","0.20%"
"Jan 25, 2019","669.54","672.15","672.15","665.02","-0.39%"
"Jan 24, 2019","672.15","672.23","674.43","668.83","-0.01%"
"Jan 23, 2019","672.23","673.77","673.89","670.18","-0.23%"
"Jan 22, 2019","673.77","672.21","674.58","670.48","0.23%"
"Jan 21, 2019","672.21","671.15","674.17","670.74","0.16%"
"Jan 18, 2019","671.15","670.54","671.73","668.30","0.09%"
"Jan 17, 2019","670.54","668.97","672.98","667.62","0.23%"
"Jan 16, 2019","668.97","675.54","676.26","668.62","-0.97%"
"Jan 15, 2019","675.54","673.71","675.58","671.25","0.27%"
"Jan 14, 2019","673.71","674.86","678.71","672.67","-0.17%"
"Jan 11, 2019","674.86","675.86","676.77","672.75","-0.15%"
"Jan 10, 2019","675.86","676.00","679.90","674.52","-0.02%"
"Jan 09, 2019","676.00","680.50","682.38","675.75","-0.65%"
"Jan 08, 2019","680.40","681.27","682.92","677.74","-0.13%"
"Jan 07, 2019","681.30","681.12","682.55","677.13","0.01%"
"Jan 04, 2019","681.21","693.77","693.89","681.21","-1.81%"
"Jan 03, 2019","693.77","696.75","700.35","693.11","-0.43%"
"Jan 02, 2019","696.75","693.20","699.95","693.20","0.40%"
"Jan 01, 2019","694.00","694.00","694.00","694.00","0.00%"
"Dec 31, 2018","694.00","694.23","694.23","693.54","0.00%"
"Dec 28, 2018","694.00","697.57","697.57","691.85","-0.46%"
"Dec 27, 2018","697.23","693.64","698.45","692.02","0.52%"
"Dec 26, 2018","693.64","690.58","696.65","689.98","0.51%"
"Dec 25, 2018","690.10","690.10","690.10","690.10","0.00%"
"Dec 24, 2018","690.10","693.82","695.08","689.17","-0.49%"
"Dec 21, 2018","693.50","691.25","694.26","689.06","0.33%"
"Dec 20, 2018","691.25","690.75","691.88","684.61","0.07%"
"Dec 19, 2018","690.75","690.11","691.50","686.64","0.11%"
"Dec 18, 2018","690.01","688.28","690.95","685.79","0.26%"
"Dec 17, 2018","688.25","683.62","688.45","681.43","0.66%"
"Dec 14, 2018","683.75","682.25","688.58","682.25","0.22%"
"Dec 13, 2018","682.25","678.09","684.06","676.30","0.60%"
"Dec 12, 2018","678.15","683.65","683.83","676.98","-0.80%"
"Dec 11, 2018","683.65","678.41","684.71","675.62","0.78%"
"Dec 10, 2018","678.35","674.80","680.80","673.79","0.53%"
"Dec 07, 2018","674.75","675.57","677.30","671.05","-0.12%"
"Dec 06, 2018","675.55","672.64","679.22","672.64","0.43%"
"Dec 05, 2018","672.65","670.65","674.28","668.56","0.30%"
"Dec 04, 2018","670.65","669.20","670.85","664.75","0.22%"
"Dec 03, 2018","669.20","671.63","671.63","663.60","-0.36%"
"Nov 30, 2018","671.63","670.50","674.42","669.11","0.17%"
"Nov 29, 2018","670.50","668.97","671.59","667.44","0.24%"
"Nov 28, 2018","668.90","675.35","676.25","669.29","-0.96%"
"Nov 27, 2018","675.41","676.80","678.26","674.58","-0.21%"
"Nov 26, 2018","676.80","674.28","678.26","673.03","0.32%"
"Nov 23, 2018","674.67","668.73","676.50","668.73","0.94%"
"Nov 22, 2018","668.40","666.48","669.17","664.46","0.29%"
"Nov 21, 2018","666.48","671.87","671.95","665.79","-0.78%"
"Nov 20, 2018","671.74","669.57","673.29","669.39","0.32%"
"Nov 19, 2018","669.60","669.91","672.75","666.46","-0.04%"
"Nov 16, 2018","669.88","673.65","677.45","669.75","-0.56%"
"Nov 15, 2018","673.65","682.52","682.52","673.33","-1.29%"
