Instrumento,Reaj,Duration,Monto,Fecha,Familia
BTU0450824,UF,4.17,17545343,2020-01-02,BT
BTU0450824,UF,4.17,35090686,2020-01-02,BT
BTU0450824,UF,4.17,35090686,2020-01-02,BT
BTU0450824,UF,4.17,35090686,2020-01-02,BT
BTU0450824,UF,4.17,35090686,2020-01-02,BT
BTU0450824,UF,4.17,35090686,2020-01-02,BT
BCU0300241,UF,16.64,20402084,2020-01-02,BT
BCP0600221,$,1.04,21404301,2020-01-02,BT
BTANN-AB,UF,13.41,31245122,2020-01-02,BE
BTP0450321,$,1.13,523297088,2020-01-02,BT
BTP0450221,$,1.12,523308990,2020-01-02,BT
BTP0450326,$,5.42,224262054,2020-01-02,BT
BTP0450326,$,5.42,224376851,2020-01-02,BT
BTU0130323,UF,3.1,1501683994,2020-01-02,BT
BTU0130323,UF,3.1,1501683994,2020-01-02,BT
BTU0130323,UF,3.1,1501683994,2020-01-02,BT
BTU0130323,UF,3.1,1501683994,2020-01-02,BT
BTU0130323,UF,3.1,1501683994,2020-01-02,BT
BTU0130323,UF,3.1,1501683994,2020-01-02,BT
BTU0130323,UF,3.1,1501683994,2020-01-02,BT
BTU0130323,UF,3.1,1501683994,2020-01-02,BT
BTU0130323,UF,3.1,1501683994,2020-01-02,BT
BTU0130323,UF,3.1,1501683994,2020-01-02,BT
BCU0300322,UF,2.09,307504904,2020-01-02,BT
BTP0470930,$,8.56,870914519,2020-01-02,BT
BCU0300221,UF,1.06,223127083,2020-01-02,BT
BEILC-F,$,2.75,104067749,2020-01-02,BE
BEILC-F,$,2.75,104067749,2020-01-02,BE
BEILC-F,$,2.75,104067749,2020-01-02,BE
BEILC-F,$,2.75,104067749,2020-01-02,BE
BEILC-F,$,2.75,104067749,2020-01-02,BE
BEILC-F,$,2.75,104067749,2020-01-02,BE
BEILC-D,$,1.4,20713530,2020-01-02,BE
BSECR10611,UF,0.86,4491859,2020-01-02,BE
BFAL-A0510,UF,0.36,28743358,2020-01-02,BE
BESTS70517,UF,3.2,15439846,2020-01-02,BE
BESTS10317,UF,2.09,30159817,2020-01-02,BE
BCNO-U0915,UF,0.66,14432923,2020-01-02,BE
BCHIBE1115,UF,2.74,30382544,2020-01-02,BE
BBIC570214,UF,1.06,29492750,2020-01-02,BE
BBBVM41113,UF,0.33,14342365,2020-01-02,BE
BTMOV-G,UF,0.46,28472310,2020-01-02,BE
BQUIN-I,UF,0.9,19744061,2020-01-02,BE
BESVA-D2,UF,3.86,17422014,2020-01-02,BE
BCFSA-C,UF,2.32,28765822,2020-01-02,BE
BARAU-F,UF,4.7,29832669,2020-01-02,BE
BBCIJ21014,UF,4.54,1065063827,2020-01-02,BE
BTU0190930,UF,9.74,282316790,2020-01-02,BT
BTU0190930,UF,9.75,166211477,2020-01-02,BT
BTU0190930,UF,9.75,166211477,2020-01-02,BT
BTU0190930,UF,9.75,166211477,2020-01-02,BT
BTU0190930,UF,9.75,166211477,2020-01-02,BT
BTU0190930,UF,9.75,166211477,2020-01-02,BT
BTU0190930,UF,9.75,166211477,2020-01-02,BT
BTU0190930,UF,9.75,166211477,2020-01-02,BT
BTU0190930,UF,9.75,166211477,2020-01-02,BT
BTU0190930,UF,9.75,166211477,2020-01-02,BT
BTU0190930,UF,9.75,166211477,2020-01-02,BT
BCHIUK0611,UF,2.33,1986839746,2020-01-02,BE
BTU0190930,UF,9.75,997268862,2020-01-02,BT
BTU0190930,UF,9.75,997268862,2020-01-02,BT
BTU0190930,UF,9.75,997268862,2020-01-02,BT
BTU0190930,UF,9.75,997268862,2020-01-02,BT
BTU0190930,UF,9.75,997268862,2020-01-02,BT
BCU0300322,UF,2.09,307619292,2020-01-02,BT
BCU0300322,UF,2.09,307619292,2020-01-02,BT
BTU0150321,UF,1.15,145644723,2020-01-02,BT
BTU0150321,UF,1.15,145644723,2020-01-02,BT
BCP0600323,$,2.89,113648221,2020-01-02,BT
BTP0450321,$,1.13,523131819,2020-01-02,BT
BTP0470930,$,8.56,581140659,2020-01-02,BT
BTP0470930,$,8.55,581311561,2020-01-02,BT
BCHIDY0917,UF,2.61,1469002955,2020-01-02,BE
BSECS-14A3,UF,9.8,142787595,2020-01-02,BE
BSECS-14A3,UF,9.8,142915286,2020-01-02,BE
BTP0470930,$,8.56,580609680,2020-01-02,BT
BTP0470930,$,8.56,580683508,2020-01-02,BT
BTP0400323,$,2.97,106897739,2020-01-02,BT
BTP0400323,$,2.97,267244349,2020-01-02,BT
BTP0400323,$,2.97,267215371,2020-01-02,BT
BTP0400323,$,2.97,534430742,2020-01-02,BT
BTP0400323,$,2.97,106886148,2020-01-02,BT
BTP0400323,$,2.97,106886148,2020-01-02,BT
BTP0400323,$,2.97,534430742,2020-01-02,BT
BTP0400323,$,2.97,427544594,2020-01-02,BT
BTP0400323,$,2.97,106886148,2020-01-02,BT
